region,city,center_name,center_type,patient,organ,subtype,number,year
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene doppio,2,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene doppio,4,2010
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene doppio,3,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene doppio,4,2010
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene doppio,10,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene doppio,2,2010
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene doppio,5,2010
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene doppio,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene doppio,1,2010
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene doppio,0,2010
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene doppio,5,2010
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene doppio,0,2010
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene doppio,0,2010
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,3,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene doppio,3,2010
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene doppio,0,2010
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene doppio,4,2010
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene - fegato,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato,6,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene - fegato,1,2010
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene - fegato,3,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene - fegato,1,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene - fegato,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,1,2010
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene - fegato,0,2010
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene - fegato,3,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene - fegato,4,2010
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene - fegato,4,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene - fegato,3,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene - fegato,0,2010
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene - fegato,0,2010
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene - fegato,0,2010
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene - fegato,3,2010
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene - fegato,0,2010
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2010
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - pancreas,2,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene - pancreas,1,2010
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,4,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene - pancreas,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,6,2010
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene - pancreas,0,2010
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene - pancreas,2,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene - pancreas,3,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene - pancreas,1,2010
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,7,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene - pancreas,1,2010
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene - pancreas,0,2010
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene - pancreas,0,2010
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene - pancreas,0,2010
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene - pancreas,0,2010
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene - pancreas,0,2010
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene - pancreas,0,2010
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,1,2010
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene - fegato - pancreas,0,2010
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene - fegato - pancreas,0,2010
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene - fegato - pancreas,0,2010
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene - cuore,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene - cuore,0,2010
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene - cuore,1,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene - cuore,0,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene - cuore,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene - cuore,0,2010
