Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno,Città_nome,Regione
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio,3,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio,7,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio,0,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio,2,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio,7,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio,0,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio,0,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio,2,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio,16,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio,3,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio,3,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio,20,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio,4,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio,2,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio,4,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio,3,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio,4,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio,0,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene doppio,10,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio,2,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio,0,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio,0,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio,5,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio,0,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio,0,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio,0,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio,0,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio,1,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio,0,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio,0,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene doppio,5,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene doppio,0,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene doppio,0,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene doppio,3,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene doppio,3,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene doppio,0,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene doppio,4,2010,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato,0,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato,0,2010,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato,6,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato,1,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato,0,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato,3,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato,0,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato,1,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato,0,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato,0,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato,1,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato,0,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato,0,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato,0,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato,0,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato,3,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato,4,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato,4,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato,0,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato,0,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene - fegato,0,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato,0,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato,0,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato,0,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato,0,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato,0,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato,3,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato,0,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato,0,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato,0,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato,0,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato,0,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato,0,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato,0,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato,0,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato,0,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene - fegato,3,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato,0,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato,0,2010,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - pancreas,0,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - pancreas,0,2010,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - pancreas,2,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - pancreas,1,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - pancreas,0,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - pancreas,0,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - pancreas,4,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - pancreas,0,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - pancreas,0,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - pancreas,0,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - pancreas,6,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - pancreas,0,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - pancreas,0,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - pancreas,0,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - pancreas,2,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - pancreas,3,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - pancreas,0,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - pancreas,0,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - pancreas,1,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - pancreas,0,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene - pancreas,7,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - pancreas,0,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - pancreas,0,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - pancreas,1,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - pancreas,0,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - pancreas,0,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - pancreas,0,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - pancreas,0,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - pancreas,0,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - pancreas,0,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - pancreas,0,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene - pancreas,0,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - pancreas,0,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - pancreas,0,2010,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato - pancreas,0,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato - pancreas,0,2010,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato - pancreas,0,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato - pancreas,1,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato - pancreas,0,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato - pancreas,0,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato - pancreas,0,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato - pancreas,0,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato - pancreas,0,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato - pancreas,0,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato - pancreas,0,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato - pancreas,0,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato - pancreas,0,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato - pancreas,0,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato - pancreas,0,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato - pancreas,0,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato - pancreas,0,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene - fegato - pancreas,0,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato - pancreas,0,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato - pancreas,0,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato - pancreas,0,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato - pancreas,0,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato - pancreas,0,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato - pancreas,0,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato - pancreas,0,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato - pancreas,0,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato - pancreas,0,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato - pancreas,0,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene - fegato - pancreas,0,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato - pancreas,0,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato - pancreas,0,2010,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - cuore,0,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - cuore,0,2010,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - cuore,0,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - cuore,0,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - cuore,0,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - cuore,1,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - cuore,0,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - cuore,0,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - cuore,0,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - cuore,0,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - cuore,0,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - cuore,0,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - cuore,0,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - cuore,1,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - cuore,0,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - cuore,0,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - cuore,0,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - cuore,0,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - cuore,0,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - cuore,0,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene - cuore,0,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - cuore,1,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - cuore,0,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - cuore,0,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - cuore,0,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - cuore,0,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - cuore,0,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - cuore,0,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - cuore,0,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - cuore,0,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - cuore,0,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - cuore,0,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - cuore,0,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - cuore,0,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - cuore,0,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - cuore,0,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene - cuore,0,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - cuore,0,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - cuore,0,2010,Cagliari,Sardegna
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato,135,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato,75,2010,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato,58,2010,Milano,Lombardia
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato,31,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato,41,2010,Milano,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato,70,2010,Padova,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato,18,2010,Verona,Veneto
