Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato,1,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato,0,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato,0,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato,1,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato,0,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato,0,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato,0,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato,0,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato,3,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato,4,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato,4,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato,0,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato,0,2010
PI - A.O.U. PISANA,PI,Rene,Rene - fegato,0,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato,0,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato,0,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato,0,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato,3,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene - fegato,1,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato,0,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato,0,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato,0,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato,0,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato,0,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato,0,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato,0,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene - fegato,0,2010
PA - Is.Me.T.T.,PA,Rene,Rene - fegato,3,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato,0,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato,0,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene - fegato,0,2010
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - pancreas,0,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - pancreas,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - pancreas,2,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - pancreas,1,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - pancreas,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - pancreas,0,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - pancreas,4,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - pancreas,0,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - pancreas,0,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - pancreas,0,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - pancreas,6,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - pancreas,0,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - pancreas,0,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - pancreas,0,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - pancreas,2,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - pancreas,3,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - pancreas,0,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - pancreas,0,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - pancreas,1,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - pancreas,0,2010
PI - A.O.U. PISANA,PI,Rene,Rene - pancreas,7,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - pancreas,0,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - pancreas,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - pancreas,1,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - pancreas,0,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - pancreas,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - pancreas,0,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene - pancreas,0,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - pancreas,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - pancreas,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - pancreas,0,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - pancreas,0,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - pancreas,0,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - pancreas,0,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - pancreas,0,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - pancreas,0,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - pancreas,0,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene - pancreas,0,2010
PA - Is.Me.T.T.,PA,Rene,Rene - pancreas,0,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - pancreas,0,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - pancreas,0,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene - pancreas,0,2010
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato - pancreas,0,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato - pancreas,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato - pancreas,0,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato - pancreas,1,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato - pancreas,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato - pancreas,0,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato - pancreas,0,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato - pancreas,0,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato - pancreas,0,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato - pancreas,0,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato - pancreas,0,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato - pancreas,0,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato - pancreas,0,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato - pancreas,0,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato - pancreas,0,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato - pancreas,0,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato - pancreas,0,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato - pancreas,0,2010
PI - A.O.U. PISANA,PI,Rene,Rene - fegato - pancreas,0,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato - pancreas,0,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato - pancreas,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato - pancreas,0,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato - pancreas,0,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato - pancreas,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato - pancreas,0,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene - fegato - pancreas,0,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato - pancreas,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato - pancreas,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato - pancreas,0,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato - pancreas,0,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato - pancreas,0,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato - pancreas,0,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato - pancreas,0,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato - pancreas,0,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato - pancreas,0,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene - fegato - pancreas,0,2010
PA - Is.Me.T.T.,PA,Rene,Rene - fegato - pancreas,0,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato - pancreas,0,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato - pancreas,0,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene - fegato - pancreas,0,2010
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - cuore,0,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - cuore,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - cuore,0,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - cuore,0,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - cuore,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - cuore,1,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - cuore,0,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - cuore,0,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - cuore,0,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - cuore,0,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - cuore,0,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - cuore,0,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - cuore,0,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - cuore,1,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - cuore,0,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - cuore,0,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - cuore,0,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - cuore,0,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - cuore,0,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - cuore,0,2010
PI - A.O.U. PISANA,PI,Rene,Rene - cuore,0,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - cuore,1,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - cuore,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - cuore,0,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - cuore,0,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - cuore,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - cuore,0,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene - cuore,0,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - cuore,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - cuore,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - cuore,0,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - cuore,0,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - cuore,0,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - cuore,0,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - cuore,0,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - cuore,0,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - cuore,0,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene - cuore,0,2010
PA - Is.Me.T.T.,PA,Rene,Rene - cuore,0,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - cuore,0,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - cuore,0,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene - cuore,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato,135,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato,75,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato,58,2010
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato,31,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato,41,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato,70,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato,18,2010
UD - POLICLINICO UNIVERSITARIO,UD,Fegato,Fegato,33,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato,27,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato,77,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato,39,2010
PI - A.O.U. PISANA,PI,Fegato,Fegato,95,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato,43,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato,19,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato,3,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato,12,2010
RM - OSPEDALE S. EUGENIO,RM,Fegato,Fegato,17,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato,15,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato,2,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato,17,2010
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato,41,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato,22,2010
PA - Is.Me.T.T.,PA,Fegato,Fegato,55,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato,22,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato - pancreas,1,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato - pancreas,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato - pancreas,0,2010
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato - pancreas,0,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato - pancreas,0,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato - pancreas,0,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato - pancreas,0,2010
UD - POLICLINICO UNIVERSITARIO,UD,Fegato,Fegato - pancreas,0,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato - pancreas,0,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato - pancreas,0,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato - pancreas,0,2010
PI - A.O.U. PISANA,PI,Fegato,Fegato - pancreas,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato - pancreas,0,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato - pancreas,0,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato - pancreas,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato - pancreas,0,2010
RM - OSPEDALE S. EUGENIO,RM,Fegato,Fegato - pancreas,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato - pancreas,0,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato - pancreas,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato - pancreas,0,2010
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato - pancreas,0,2010
